F1_a(N);Delta_u13_a(mm);F2_a(N);Delta_u24_a(mm);F1_b(N);Delta_u13_b(mm);F2_b(N);Delta_u24_b(mm)
3.2769;0;-382.116;0;19.0609;0;-303.854;0
6.56524;0.00036225;-391.981;-0.00010324;36.1603;0.000410793;-325.557;-0.00025841
24.9799;0.00027206;-410.396;-0.00044872;69.0437;0.00126151;-353.837;-0.00061207
49.3137;0.00073226;-432.099;-0.0011257;92.7197;0.00178935;-386.062;-0.00102397
69.7014;0.00159962;-456.433;-0.001208;129.549;0.00239953;-420.261;-0.00204726
101.269;0.002298074;-485.37;-0.0019598;168.352;0.00303686;-452.487;-0.00278522
128.234;0.002854177;-517.596;-0.002676;211.1;0.003981336;-493.92;-0.00354404
167.036;0.00356557;-551.795;-0.003435;250.56;0.005062099;-541.272;-0.00442084
209.127;0.00448467;-590.597;-0.0041881;301.858;0.00590576;-584.02;-0.00540131
242.668;0.00526492;-630.715;-0.0052076;353.814;0.00703978;-641.895;-0.00676417
299.227;0.00523129;-676.094;-0.0063954;416.292;0.00827727;-698.455;-0.00779587
338.688;0.00730932;-726.734;-0.0070135;476.798;0.00959905;-759.618;-0.00899225
397.878;0.00821547;-779.348;-0.0082919;540.592;0.01099355;-824.727;-0.01029401
453.779;0.00969118;-836.565;-0.0096946;610.304;0.012130067;-895.755;-0.0118682
518.889;0.01079427;-899.701;-0.0113522;682.648;0.01359878;-972.702;-0.013664251
580.052;0.01210754;-966.783;-0.0125378;774.064;0.015848506;-1054.91;-0.01490025
660.287;0.01380505;-1039.78;-0.0140339;851.011;0.01747958;-1141.07;-0.01691087
739.207;0.01521037;-1118.7;-0.0157631;945.715;0.019375631;-1229.19;-0.01867293
811.551;0.01717296;-1196.31;-0.0172825;1036.47;0.02114533;-1321.27;-0.020406921
904.94;0.01882442;-1284.44;-0.01914659;1126.57;0.02327129;-1414.65;-0.02242814
991.752;0.02091052;-1371.91;-0.02081745;1226.54;0.02521599;-1508.04;-0.024479323
1085.8;0.02271052;-1465.3;-0.02298986;1316.64;0.02735761;-1607.35;-0.0263225
1169.98;0.02457622;-1560.66;-0.02500172;1423.84;0.02939548;-1704.69;-0.028353316
1271.26;0.02656482;-1654.05;-0.02725061;1524.46;0.03135217;-1807.28;-0.03079099
1370.57;0.02895262;-1750.72;-0.02967772;1620.48;0.03349319;-1907.91;-0.03312764
1456.72;0.03118112;-1846.74;-0.03159592;1727.68;0.03596823;-2011.16;-0.03524512
1559.32;0.03297992;-1944.08;-0.0342063;1826.33;0.03816169;-2113.1;-0.03759826
1667.18;0.03573612;-2046.67;-0.03644342;1928.27;0.04057709;-2213.06;-0.03997716
1761.22;0.03830942;-2145.98;-0.0389528;2036.79;0.04325589;-2317.63;-0.04251368
1863.82;0.04071462;-2247.26;-0.041900907;2132.81;0.04562439;-2422.2;-0.04527327
1970.36;0.04357182;-2346.57;-0.044854483;2241.98;0.04853759;-2524.14;-0.04838789
2060.46;0.04678912;-2443.25;-0.0481112;2344.58;0.05186809;-2628.05;-0.05143071
2158.46;0.05009422;-2542.56;-0.05170448;2437.96;0.05476219;-2728.02;-0.05530571
2252.5;0.05394662;-2635.29;-0.0559321;2536.61;0.05866409;-2822.06;-0.05951251
2346.55;0.05813682;-2724.73;-0.06027067;2633.29;0.06304309;-2914.14;-0.06404811
2429.41;0.06319082;-2814.17;-0.06505821;2717.47;0.06771139;-2996.35;-0.06896561
2514.25;0.06841062;-2895.07;-0.071024;2800.34;0.07272689;-3078.55;-0.07498251
2587.25;0.07458322;-2972.67;-0.0773859;2871.37;0.07889789;-3164.71;-0.08129341
2660.91;0.08139182;-3043.7;-0.0843111;2946.34;0.08471809;-3229.82;-0.08794301
2725.37;0.08831322;-3110.78;-0.0919842;3012.11;0.09106919;-3289.01;-0.09557711
2793.11;0.09592972;-3168.66;-0.1000181;3071.3;0.09865759;-3351.49;-0.10392801
2838.48;0.10384512;-3224.56;-0.1082219;3123.25;0.10588239;-3411.33;-0.11240041
2905.57;0.11203222;-3281.77;-0.1166949;3182.44;0.11426529;-3465.26;-0.12061671
2947;0.12022612;-3332.41;-0.1256876;3230.45;0.12240729;-3514.59;-0.12977291
2996.98;0.12879032;-3381.08;-0.1351659;3284.38;0.13094859;-3567.86;-0.13891341
3043.68;0.13792562;-3425.15;-0.143894;3328.45;0.13926769;-3609.95;-0.14848661
3087.08;0.14674362;-3477.76;-0.1541438;3380.4;0.14788899;-3656.65;-0.15871331
3141.01;0.15615072;-3521.82;-0.1635256;3415.92;0.15743989;-3705.97;-0.16829871
3179.16;0.16519642;-3563.26;-0.1732667;3477.08;0.16730409;-3751.35;-0.17906201
3223.88;0.17428412;-3598.11;-0.182672;3510.62;0.17721499;-3792.12;-0.19006011
3253.47;0.18349362;-3642.83;-0.1924862;3552.71;0.18607789;-3834.87;-0.19961601
3288.99;0.19272072;-3676.38;-0.2025092;3594.15;0.19584899;-3869.07;-0.21017151
3332.39;0.20217222;-3715.84;-0.2124393;3631.63;0.20561259;-3909.19;-0.22094241
3369.88;0.21181792;-3752.01;-0.2228959;3664.52;0.21540059;-3946.02;-0.23187091
3400.79;0.22155092;-3788.18;-0.2335066;3708.58;0.22563369;-3981.53;-0.24276391
3435.65;0.23169892;-3815.8;-0.2434366;3739.49;0.23584869;-4022.31;-0.25403991
3475.11;0.24132692;-3847.37;-0.2540406;3770.4;0.24608369;-4057.82;-0.26514691
3498.78;0.25149692;-3882.88;-0.2646706;3810.52;0.25639469;-4090.05;-0.27685191
3538.24;0.26165992;-3913.79;-0.2750966;3840.11;0.26685069;-4127.54;-0.28828191
3564.55;0.27157792;-3946.02;-0.2862246;3871.02;0.27755869;-4153.84;-0.29963591
3597.43;0.28209892;-3978.24;-0.2975216;3909.83;0.28789669;-4190.67;-0.31157291
3624.4;0.29254992;-4009.81;-0.3081926;3934.82;0.29922869;-4220.92;-0.32322691
3657.28;0.30295792;-4035.46;-0.3197196;3963.1;0.31006869;-4247.23;-0.33525291
3680.3;0.31391392;-4064.4;-0.3307706;3999.27;0.32104469;-4276.83;-0.34788191
3715.81;0.32449092;-4093.34;-0.3418166;4020.31;0.33195969;-4310.37;-0.35955791
3734.89;0.33523092;-4121.62;-0.3534176;4054.51;0.34309469;-4336.67;-0.37164691
3769.74;0.34610492;-4144.63;-0.3650276;4080.82;0.35393069;-4361.67;-0.38381191
3788.16;0.35716492;-4174.23;-0.3765686;4108.44;0.36510369;-4387.31;-0.39620691
3821.04;0.36787992;-4201.19;-0.3883106;4130.15;0.37645169;-4417.57;-0.40874991
3839.46;0.37916392;-4222.9;-0.4000816;4160.4;0.38764869;-4443.22;-0.42175791
3870.37;0.39012092;-4255.12;-0.4121746;4177.5;0.39916669;-4464.92;-0.43436791
3890.75;0.40143992;-4273.54;-0.4242086;4209.07;0.41113769;-4487.28;-0.44722891
3919.69;0.41272292;-4300.5;-0.4359496;4232.74;0.42254969;-4512.27;-0.46049591
3932.84;0.42409792;-4322.21;-0.4481036;4254.45;0.43443769;-4548.44;-0.47352591
3965.73;0.43530692;-4343.91;-0.4602016;4280.09;0.44608569;-4566.2;-0.48705991
3987.43;0.44686392;-4374.82;-0.4723386;4297.19;0.45847769;-4588.56;-0.49974891
4005.85;0.45853192;-4390.6;-0.4847636;4317.58;0.47013169;-4606.98;-0.51372991
4034.78;0.47013392;-4412.31;-0.4974746;4349.15;0.48189569;-4631.31;-0.52794291
4045.31;0.48205892;-4430.72;-0.5100156;4370.19;0.49450069;-4660.9;-0.54158791
4071.61;0.49399192;-4452.42;-0.5225596;4389.27;0.50684669;-4671.43;-0.55616891
4088.05;0.50589592;-4472.81;-0.5353256;4405.71;0.51920869;-4691.16;-0.57011791
4115.02;0.51762992;-4496.49;-0.5477516;4434.65;0.53151869;-4716.81;-0.58413791
4129.49;0.52964792;-4516.22;-0.5603516;4449.77;0.54387669;-4738.51;-0.59867691
4148.56;0.54136392;-4539.89;-0.5732376;4470.82;0.55658969;-4759.55;-0.61370391
4169.61;0.55359392;-4547.13;-0.5856456;4495.81;0.56980369;-4777.31;-0.62740291
4188.68;0.56520092;-4570.15;-0.5985336;4504.36;0.58203869;-4789.15;-0.64249791
4198.54;0.57723492;-4591.19;-0.6112816;4521.46;0.59478469;-4815.46;-0.65728691
4227.48;0.58913192;-4601.06;-0.6243666;4545.79;0.60758869;-4827.95;-0.67245091
4233.4;0.60137792;-4623.42;-0.6373216;4562.89;0.61987969;-4845.71;-0.68744391
4254.45;0.61310492;-4630.65;-0.6501546;4586.57;0.63345769;-4866.75;-0.70294491
4271.54;0.62550692;-4654.99;-0.6633776;4598.41;0.64661469;-4880.57;-0.71828991
4285.36;0.63780892;-4670.77;-0.6767486;4622.08;0.66007669;-4908.85;-0.73397291
4303.77;0.64997292;-4687.21;-0.6899436;4631.95;0.67337269;-4923.97;-0.74956491
4312.98;0.66256492;-4697.73;-0.7032986;4649.05;0.68672469;-4935.15;-0.76475691
4336.65;0.67475292;-4712.2;-0.7166226;4668.12;0.69988369;-4949.62;-0.78037091
4342.57;0.68677092;-4730.62;-0.7298556;4678.64;0.71313969;-4960.8;-0.79604591
4364.28;0.69912492;-4743.11;-0.7424936;4692.45;0.72646769;-4977.24;-0.81144691
4367.56;0.71069592;-4751.01;-0.7557526;4716.79;0.73963769;-4991.71;-0.82719791
4387.95;0.72218592;-4772.05;-0.7689916;4722.71;0.75312669;-5018.68;-0.84284191
4395.19;0.73483892;-4781.26;-0.7820546;4743.75;0.76638169;-5029.2;-0.85860191
4415.57;0.74669492;-4797.7;-0.7953276;4757.56;0.77977469;-5041.69;-0.87478091
4419.52;0.75891192;-4813.48;-0.8089196;4768.08;0.79320369;-5054.85;-0.89085791
4437.93;0.77086892;-4823.35;-0.8221596;4782.55;0.80658869;-5065.37;-0.90709391
4445.17;0.78299892;-4829.93;-0.8353316;4791.1;0.82048669;-5071.95;-0.92290391
4458.98;0.79497192;-4838.47;-0.8483706;4798.34;0.83396369;-5092.33;-0.93928691
4466.87;0.80700892;-4851.63;-0.8619046;4821.36;0.84768569;-5104.83;-0.95554291
4483.31;0.81944992;-4864.78;-0.8757136;4827.27;0.86142169;-5120.61;-0.97273991
4485.29;0.83174592;-4875.96;-0.8893166;4846.35;0.87539569;-5126.53;-0.98858791
4496.47;0.84401092;-4880.57;-0.9033146;4850.29;0.88943569;-5142.32;-1.00580491
4511.59;0.85656392;-4888.46;-0.9170056;4866.08;0.90304869;-5147.58;-1.02340891
4516.85;0.86908892;-4898.32;-0.9309456;4870.68;0.91720369;-5156.13;-1.03983191
4528.04;0.88171392;-4914.76;-0.9451716;4884.49;0.93125769;-5171.26;-1.05652191
4534.61;0.89403792;-4919.37;-0.9595736;4898.96;0.94467269;-5178.49;-1.07432791
4541.85;0.90710292;-4924.63;-0.9738626;4900.93;0.95913969;-5190.33;-1.09129091
4550.4;0.92016492;-4932.52;-0.9889216;4910.8;0.97310769;-5196.25;-1.10853091
4558.95;0.93320792;-4944.36;-1.0039046;4930.53;0.98777169;-5208.08;-1.12610591
4558.95;0.94650092;-4953.57;-1.0193366;4928.56;1.00199069;-5221.24;-1.14419591
4570.78;0.95979992;-4950.28;-1.0344876;4939.08;1.01621369;-5226.5;-1.16189991
4583.28;0.97340392;-4973.95;-1.0501996;4951.57;1.03065269;-5234.39;-1.18042191
4543.16;0.99466392;-4914.76;-1.0758816;4952.23;1.04511569;-5246.89;-1.19861291
4574.73;1.00230792;-4958.17;-1.0849416;4968.02;1.05944669;-5241.63;-1.21625391
;;;;4862.13;1.08322369;-5118.64;-1.24721691
;;;;4954.86;1.09000269;-5240.31;-1.25618391
